filing_id,form_type,filer_committee_id_number,committee_name,election_state,election_district,report_code,col_a_total_individual_contributions,col_a_pac_contributions,col_a_candidate_contributions,col_a_candidate_loans,col_a_total_receipts,col_b_total_receipts,col_a_total_disbursements,col_a_cash_on_hand_close
1394668,F3N,C00711085,SUZANNE HERZOG FOR US SENATE,IA,00,Q1,563.56,0.00,0.00,1000.00,1563.56,13007.75,3672.52,1692.76
1394338,F3N,C00742247,SCOTT FRANKLIN FOR CONGRESS,FL,15,Q1,106786.00,0.00,0.00,160000.00,266786.00,266786.00,302.27,266483.73
1394698,F3N,C00733246,GARSKE FOR CONGRESS,WI,03,Q1,20932.80,0.00,0.00,100000.00,121125.79,121125.79,20449.21,100676.58
1394711,F3N,C00725614,My Committee,,,Q1,110.00,0.00,0.00,0.00,110.00,110.00,1397.18,-1287.18
1394713,F3N,C00656447,Elect Gabe Ferrer,FL,27,Q1,0.00,0.00,0.00,50.00,50.00,176.00,51.00,-2839.72
1385205,F3N,C00662874,Sri for Congress,TX,22,12P,92660.20,4500.00,0.00,0.00,97160.20,1254493.32,255140.90,503611.70
1395236,F3A,C00556944,Bruce Davis for US Congress,NC,13,Q1,0.00,0.00,0.00,0.00,0.00,28338.48,150.00,1268.23
1395396,F3N,C00670943,Root For Citizen Congressman,CO,03,Q1,1578.70,0.00,0.00,1534.56,3113.26,7061.10,2938.01,531.05
1385208,F3N,C00708479,Arballo for Congress,CA,22,12P,300586.71,5000.00,0.00,0.00,305836.71,1394491.63,624200.50,241464.13
1394063,F3N,C00742825,Pedro Figueiredo For House D7,FL,07,Q1,600.00,0.00,0.00,0.00,600.00,600.00,235.18,364.82
1394069,F3N,C00694091,Eva Putzova for Congress,AZ,01,Q1,63234.43,0.00,0.00,0.00,63563.95,186558.04,38341.43,40444.53
1395423,F3N,C00730655,Friends of Earl Granville,PA,08,Q1,63535.99,18500.00,0.00,30000.00,112035.99,118461.99,42844.56,73711.21
1385217,F3N,C00699660,BISHOP FOR CONGRESS,NC,09,12P,74625.56,22700.00,0.00,0.00,149763.21,486013.36,42830.89,304493.12
1394779,F3N,C00737650,VAN DE WATER FOR CONGRESS,NY,19,Q1,11250.78,1684.00,0.00,0.00,15734.78,15734.78,1237.31,14497.47
1395138,F3N,C00708750,BABBAGE FOR CONGRESS,GA,07,Q1,7660.00,0.00,0.00,0.00,7660.00,7660.00,5220.00,2440.00
1393865,F3N,C00710780,GRISSOM FOR U.S. SENATE,KS,00,Q1,0.00,0.00,0.00,0.00,0.00,472189.09,23533.62,45077.39
1395144,F3N,C00681544,Ted Howze for Congress 2020,CA,10,Q1,43427.35,21500.00,0.00,0.00,71147.23,1099167.15,142711.33,100575.50
1395471,F3N,C00727354,LaLota for Congress,NY,02,Q1,7346.00,500.00,270.00,0.00,8116.00,162251.42,131668.45,21749.00
1395494,F3N,C00700559,Greg Raths for Congress 2020,CA,45,Q1,57751.28,0.00,12000.00,0.00,69751.28,521413.09,44816.64,151073.32
1393896,F3N,C00742403,Shelli Landon For Congress,OK,05,Q1,3930.20,0.00,612.89,0.00,4543.09,4543.09,10316.17,-5773.08
1394141,F3N,C00713230,Rob Jones for Congress,VA,10,Q1,172900.11,0.00,0.00,0.00,173145.53,375647.69,165921.43,99983.82
1394487,F3N,C00662767,Chip Roy for Congress,TX,21,Q1,204350.76,36750.00,0.00,0.00,253198.45,2081912.29,126792.82,1462508.10
1395510,F3N,C00253187,Peterson for Congress,MN,07,Q1,36557.15,130500.00,0.00,0.00,167057.15,947757.40,70056.82,1111371.72
1385244,F3N,C00714972,Monika for Congress,NC,02,12P,26350.10,500.00,0.00,0.00,26850.10,122314.79,48712.19,16451.98
1382048,F3N,C00735787,HARRY SOUTHERLAND FOR CONGRESS,NC,09,12P,755.00,0.00,0.00,7718.21,8473.21,8473.21,6600.20,1873.01
1394168,F3A,C00371203,John Carter for Congress,TX,31,12P,40159.07,1000.00,0.00,0.00,41159.07,1119289.36,143280.97,671857.98
1394882,F3A,C00736942,KAHN 4 CONGRESS,OH,01,12P,781.80,0.00,0.00,0.00,781.80,781.80,46.51,735.29
1394883,F3N,C00736942,KAHN 4 CONGRESS,OH,01,Q1,1584.50,0.00,0.00,0.00,1584.50,2281.30,315.21,2004.58
